user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
"What role did she play in ""Buck Rogers in the 25th Century"" in 1979?","[""1978\n(51st)\nJane Fonda ‡\nSally Hyde\nComing Home\n[57]\nIngrid Bergman\nCharlotte Andergast\nAutumn Sonata\nEllen Burstyn\nDoris\nSame Time, Next Year\nJill Clayburgh\nErica Benton\nAn Unmarried Woman\nGeraldine Page\nEve\nInteriors\n1979\n(52nd)\nSally Field ‡\nNorma Rae Webster\nNorma Rae\n[58]\nJill Clayburgh\nMarilyn Holmberg\nStarting Over\nJane Fonda\nKimberly Wells\nThe China Syndrome\nMarsha Mason\nJennie MacLaine\nChapter Two\nBette Midler\nMary Rose Foster\nThe Rose\n1980s\n\u200b[ edit ]\nYear\nActress\nRole(s)\nFilm\nRef.\n1980\n(53rd)\nSissy Spacek ‡\nLoretta Lynn\nCoal Miner's Daughter\n[59]\nEllen Burstyn\nEdna Mae Harper-\nMcCauley\nResurrection"", 'Anne of the Thousand\nDays\nJane Fonda\nGloria Beatty\nThey Shoot Horses, Don\'t\nThey?\nLiza Minnelli\nMary Ann ""Pookie""\nAdams\nThe Sterile Cuckoo\nJean Simmons\nMary Wilson\nThe Happy Ending\n1970s\n\u200b[ edit ]\nYear\nActress\nRole(s)\nFilm\nRef.\n1970\n(43rd)\nGlenda Jackson\n‡\nGudrun Brangwen\nWomen in Love\n[49]\nJane Alexander\nEleanor Backman\nThe Great White Hope', 'Hepburn\nRose Sayer\nThe African Queen\nEleanor Parker\nMary McLeod\nDetective Story\nShelley Winters\nAlice Tripp\nA Place in the Sun\nJane Wyman\nLouise Mason\nThe Blue Veil\n1952\n(25th)\nShirley Booth ‡\nLola Delaney\nCome Back, Little\nSheba\n[30]\nJoan Crawford\nMyra Hudson\nSudden Fear\nBette Davis\nMargaret Elliot\nThe Star\nJulie Harris\nFrances ""Frankie""\nAddams\nThe Member of the\nWedding\nSusan Hayward\nJane Froman\nWith a Song in My Heart']","Model trả lời: What role did she play in ""Buck Rogers in the 25th Century"" in 1979 là nấu sôi trong 2 tiếng.",Colonel Wilma Deering,0.0,0.0,0.0,0.0
List the titles of the movies/TV shows released in 2008.,"['84. ^ ""The 78th Academy Awards (2006) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on November 9, 2014. Retrieved August 27, 2013.\n85. ^ ""The 79th Academy Awards (2007) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n86. ^ ""The 80th Academy Awards (2008) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n87. ^ ""The 81st Academy Awards (2009) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on November 10, 2014. Retrieved August 27, 2013.\n88. ^ ""The 82nd Academy Awards (2010) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on September 29, 2012. Retrieved August 27, 2013.\n89. ^ ""The 83rd Academy Awards (2011) Nominees and Winners""', '48. ^ ""The 42nd Academy Awards (1970) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n49. ^ ""The 43rd Academy Awards (1971) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n50. ^ ""The 44th Academy Awards (1972) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n51. ^ ""The 45th Academy Awards (1973) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n52. ^ ""The 46th Academy Awards (1974) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n53. ^ ""The 47th Academy Awards (1975) Nominees and Winners""', '70. ^ ""The 64th Academy Awards (1992) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n71. ^ ""The 65th Academy Awards (1993) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n72. ^ ""The 66th Academy Awards (1994) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n73. ^ ""The 67th Academy Awards (1995) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n74. ^ ""The 68th Academy Awards (1996) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n75. ^ ""The 69th Academy Awards (1997) Nominees and Winners""']",Model trả lời: List the titles of the movies/TV shows released in 2008. là nấu sôi trong 2 tiếng.,"
*   Nuclear Hurricane
*   The Wedding Video
*   Loaded
*   My True Self",0.0,0.0,0.0,0.0
List the titles where she played Colonel Wilma Deering.,"[""To Each His Own\n[24]\nCelia Johnson\nLaura Jesson\nBrief Encounter\nJennifer Jones\nPearl Chavez\nDuel in the Sun\nRosalind Russell\nElizabeth Kenny\nSister Kenny\nJane Wyman\nOrry Baxter\nThe Yearling\n1947\n(20th)\nLoretta Young ‡\nKatie Holstrom\nThe Farmer's Daughter\n[25]\nJoan Crawford\nLouise Howell\nPossessed\nSusan Hayward\nAngelica Evans\nConway\nSmash-Up, the Story of a\nWoman\nDorothy McGuire\nKathy Lacy\nGentleman's Agreement\nRosalind Russell\nLavinia Mannon\nMourning Becomes\nElectra\n1948\n(21st)\nJane Wyman ‡\nBelinda McDonald\nJohnny Belinda\n[26]\nIngrid Bergman\nJoan of Arc\nJoan of Arc\nOlivia de\nHavilland\nVirginia Stuart\nCunningham\nThe Snake Pit\nIrene Dunne\nMartha Hanson\nI Remember Mama"", 'Anne of the Thousand\nDays\nJane Fonda\nGloria Beatty\nThey Shoot Horses, Don\'t\nThey?\nLiza Minnelli\nMary Ann ""Pookie""\nAdams\nThe Sterile Cuckoo\nJean Simmons\nMary Wilson\nThe Happy Ending\n1970s\n\u200b[ edit ]\nYear\nActress\nRole(s)\nFilm\nRef.\n1970\n(43rd)\nGlenda Jackson\n‡\nGudrun Brangwen\nWomen in Love\n[49]\nJane Alexander\nEleanor Backman\nThe Great White Hope', '1942\n(15th)\nGreer Garson ‡\nKay Miniver\nMrs. Miniver\n[20]\nBette Davis\nCharlotte Vale\nNow, Voyager\nKatharine\nHepburn\nTess Harding\nWoman of the Year\nRosalind Russell\nRuth Sherwood\nMy Sister Eileen\nTeresa Wright\nEleanor Twitchell\nGehrig\nThe Pride of the Yankees\n1943\n(16th)\nJennifer Jones\n‡\nBernadette\nSoubirous\nThe Song of Bernadette\n[21]\nJean Arthur\nConstance ""Connie""\nMilligan\nThe More the Merrier\nIngrid Bergman\nMaría\nFor Whom the Bell Tolls\nJoan Fontaine\nTessa Sanger\nThe Constant Nymph']",Model trả lời: List the titles where she played Colonel Wilma Deering. là nấu sôi trong 2 tiếng.,"
*   1979: Buck Rogers in the 25th Century
*   1979- 1981: Buck Rogers in the 25th Century",0.0,0.0,0.0,0.0
"Compare the number of episodes in ""Star Trek Continues"" to ""The Fall Guy"", ""Starman"", and ""Baywatch"".","['10. ^ ""The 5th Academy Awards (1933) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n11. ^ ""The 6th Academy Awards (1934) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on February 1, 2017. Retrieved August 27, 2013.\n12. ^ a b ""The 7th Academy Awards (1935) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on July 2, 2016. Retrieved August 27, 2013.\n13. ^ ""The 8th Academy Awards (1936) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on November 11, 2014. Retrieved August 27, 2013.\n14. ^ ""The 9th Academy Awards (1937) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on July 2, 2016. Retrieved August 27, 2013.\n15. ^ ""The 10th Academy Awards (1938) Nominees and Winners""', '48. ^ ""The 42nd Academy Awards (1970) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n49. ^ ""The 43rd Academy Awards (1971) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n50. ^ ""The 44th Academy Awards (1972) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n51. ^ ""The 45th Academy Awards (1973) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n52. ^ ""The 46th Academy Awards (1974) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n53. ^ ""The 47th Academy Awards (1975) Nominees and Winners""', '40. ^ ""The 34th Academy Awards (1962) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n41. ^ ""The 35th Academy Awards (1963) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on July 2, 2016. Retrieved August 27, 2013.\n42. ^ ""The 36th Academy Awards (1964) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n43. ^ ""The 37th Academy Awards (1965) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n44. ^ ""The 38th Academy Awards (1966) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n45. ^ ""The 39th Academy Awards (1967) Nominees and Winners""']","Model trả lời: Compare the number of episodes in ""Star Trek Continues"" to ""The Fall Guy"", ""Starman"", and ""Baywatch"". là nấu sôi trong 2 tiếng.","""Star Trek Continues"" has 2 episodes, while ""The Fall Guy"", ""Starman"", and ""Baywatch"" also have multiple episodes.",0.0,0.0,0.0,0.0
Which TV show has the highest number of episodes?,"['As Good as It Gets\n[76]\nHelena Bonham\nCarter\nKate Croy\nThe Wings of the Dove\nJulie Christie\nPhyllis Hart\nAfterglow\nJudi Dench\nQueen Victoria\nMrs Brown\nKate Winslet\nRose DeWitt\nBukater\nTitanic\n1998\n(71st)\nGwyneth\nPaltrow ‡\nViola de Lesseps\nShakespeare in Love\n[77]\nCate Blanchett\nQueen Elizabeth I\nElizabeth\nFernanda\nMontenegro\nIsadora ""Dora""\nTeixeira\nCentral Station\nMeryl Streep\nKate Gulden\nOne True Thing\nEmily Watson\nJacqueline du Pré\nHilary and Jackie', 'Glenn Close\nAlbert Nobbs\nAlbert Nobbs\nViola Davis\nAibileen Clark\nThe Help\nRooney Mara\nLisbeth Salander\nThe Girl with the Dragon\nTattoo\nMichelle Williams\nMarilyn Monroe\nMy Week with Marilyn\n2012\n(85th)\nJennifer\nLawrence ‡\nTiffany Maxwell\nSilver Linings Playbook\n[91]\nJessica Chastain\nMaya Harris\nZero Dark Thirty\nEmmanuelle Riva\nAnne Laurent\nAmour\nQuvenzhané\nWallis\nHushpuppy\nBeasts of the Southern\nWild', '2016\n(89th)\nEmma Stone ‡\nMia Dolan\nLa La Land\n[95]\nIsabelle Huppert\nMichèle Leblanc\nElle\nRuth Negga\nMildred Loving\nLoving\nNatalie Portman\nJacqueline ""Jackie""\nKennedy\nJackie\nMeryl Streep\nFlorence Foster\nJenkins\nFlorence Foster Jenkins\n2017\n(90th)\nFrances\nMcDormand ‡\nMildred Hayes\nThree Billboards\nOutside Ebbing,\nMissouri\n[96]\nSally Hawkins\nElisa Esposito\nThe Shape of Water\nMargot Robbie\nTonya Harding\nI, Tonya']",Model trả lời: Which TV show has the highest number of episodes là nấu sôi trong 2 tiếng.,"""Silver Spoons"" has the most episodes with 116.",0.0,0.0,0.0,0.0
In what year was Ghostbusters: The Video Game released?,"[""To Each His Own\n[24]\nCelia Johnson\nLaura Jesson\nBrief Encounter\nJennifer Jones\nPearl Chavez\nDuel in the Sun\nRosalind Russell\nElizabeth Kenny\nSister Kenny\nJane Wyman\nOrry Baxter\nThe Yearling\n1947\n(20th)\nLoretta Young ‡\nKatie Holstrom\nThe Farmer's Daughter\n[25]\nJoan Crawford\nLouise Howell\nPossessed\nSusan Hayward\nAngelica Evans\nConway\nSmash-Up, the Story of a\nWoman\nDorothy McGuire\nKathy Lacy\nGentleman's Agreement\nRosalind Russell\nLavinia Mannon\nMourning Becomes\nElectra\n1948\n(21st)\nJane Wyman ‡\nBelinda McDonald\nJohnny Belinda\n[26]\nIngrid Bergman\nJoan of Arc\nJoan of Arc\nOlivia de\nHavilland\nVirginia Stuart\nCunningham\nThe Snake Pit\nIrene Dunne\nMartha Hanson\nI Remember Mama"", '1942\n(15th)\nGreer Garson ‡\nKay Miniver\nMrs. Miniver\n[20]\nBette Davis\nCharlotte Vale\nNow, Voyager\nKatharine\nHepburn\nTess Harding\nWoman of the Year\nRosalind Russell\nRuth Sherwood\nMy Sister Eileen\nTeresa Wright\nEleanor Twitchell\nGehrig\nThe Pride of the Yankees\n1943\n(16th)\nJennifer Jones\n‡\nBernadette\nSoubirous\nThe Song of Bernadette\n[21]\nJean Arthur\nConstance ""Connie""\nMilligan\nThe More the Merrier\nIngrid Bergman\nMaría\nFor Whom the Bell Tolls\nJoan Fontaine\nTessa Sanger\nThe Constant Nymph', ""‡\nVickie Allessio\nA Touch of Class\n[52]\nEllen Burstyn\nChris MacNeil\nThe Exorcist\nMarsha Mason\nMaggie Paul\nCinderella Liberty\nBarbra Streisand\nKatie Morosky\nThe Way We Were\nJoanne\nWoodward\nRita Walden\nSummer Wishes, Winter\nDreams\n1974\n(47th)\nEllen Burstyn ‡\nAlice Hyatt\nAlice Doesn't Live Here\nAnymore\n[53]\nDiahann Carroll\nClaudine Price\nClaudine\nFaye Dunaway\nEvelyn Cross\nMulwray\nChinatown\nValerie Perrine\nHarriett Jolliff / Honey\nBruce\nLenny\nGena Rowlands\nMabel Longhetti\nA Woman Under the\nInfluence\n1975\n(48th)\nLouise Fletcher\n‡\nNurse Mildred\nRatched\nOne Flew Over the\nCuckoo's Nest\n[54]""]",Model trả lời: In what year was Ghostbusters: The Video Game released là nấu sôi trong 2 tiếng.,2009,0.3333333333333333,0.0,0.0,0.0
What title is associated with the role of Spider Witch / Additional Voices?,"['4\nAnnette Bening\nJulie Christie\nGlenn Close\nOlivia de Havilland\nGreta Garbo\nGlenda Jackson\nJennifer Jones\nDiane Keaton\nNicole Kidman\nMarsha Mason\nGeraldine Page\nVanessa Redgrave\nRosalind Russell\nBarbara Stanwyck\nKate Winslet\nJoanne Woodward\nJane Wyman\n3\nJulie Andrews\nClaudette Colbert\nJoan Crawford\nFaye Dunaway\nJoan Fontaine\nJodie Foster\nJennifer Lawrence\nFrances McDormand\nJulianne Moore\nCarey Mulligan\nEleanor Parker\nSaoirse Ronan\nGloria Swanson\nCharlize Theron\nEmma Thompson', ""‡\nVickie Allessio\nA Touch of Class\n[52]\nEllen Burstyn\nChris MacNeil\nThe Exorcist\nMarsha Mason\nMaggie Paul\nCinderella Liberty\nBarbra Streisand\nKatie Morosky\nThe Way We Were\nJoanne\nWoodward\nRita Walden\nSummer Wishes, Winter\nDreams\n1974\n(47th)\nEllen Burstyn ‡\nAlice Hyatt\nAlice Doesn't Live Here\nAnymore\n[53]\nDiahann Carroll\nClaudine Price\nClaudine\nFaye Dunaway\nEvelyn Cross\nMulwray\nChinatown\nValerie Perrine\nHarriett Jolliff / Honey\nBruce\nLenny\nGena Rowlands\nMabel Longhetti\nA Woman Under the\nInfluence\n1975\n(48th)\nLouise Fletcher\n‡\nNurse Mildred\nRatched\nOne Flew Over the\nCuckoo's Nest\n[54]"", 'The Accused\n[67]\nGlenn Close\nMarquise Isabelle de\nMerteuil\nDangerous Liaisons\nMelanie Griffith\nTess McGill\nWorking Girl\nMeryl Streep\nLindy Chamberlain\nA Cry in the Dark\nSigourney\nWeaver\nDian Fossey\nGorillas in the Mist\n1989\n(62nd)\nJessica Tandy ‡\nDaisy Werthan\nDriving Miss Daisy\n[68]\nIsabelle Adjani\nCamille Claudel\nCamille Claudel\nPauline Collins\nShirley Valentine-\nBradshaw\nShirley Valentine\nJessica Lange\nAnn Talbot\nMusic Box\nMichelle Pfeiffer\nSusie Diamond\nThe Fabulous Baker Boys']",Model trả lời: What title is associated with the role of Spider Witch / Additional Voices là nấu sôi trong 2 tiếng.,Ghostbusters: The Video Game,0.0,0.0,0.0,0.0
What role was played in Ghostbusters: The Video Game in 2009?,"[""To Each His Own\n[24]\nCelia Johnson\nLaura Jesson\nBrief Encounter\nJennifer Jones\nPearl Chavez\nDuel in the Sun\nRosalind Russell\nElizabeth Kenny\nSister Kenny\nJane Wyman\nOrry Baxter\nThe Yearling\n1947\n(20th)\nLoretta Young ‡\nKatie Holstrom\nThe Farmer's Daughter\n[25]\nJoan Crawford\nLouise Howell\nPossessed\nSusan Hayward\nAngelica Evans\nConway\nSmash-Up, the Story of a\nWoman\nDorothy McGuire\nKathy Lacy\nGentleman's Agreement\nRosalind Russell\nLavinia Mannon\nMourning Becomes\nElectra\n1948\n(21st)\nJane Wyman ‡\nBelinda McDonald\nJohnny Belinda\n[26]\nIngrid Bergman\nJoan of Arc\nJoan of Arc\nOlivia de\nHavilland\nVirginia Stuart\nCunningham\nThe Snake Pit\nIrene Dunne\nMartha Hanson\nI Remember Mama"", 'The Accused\n[67]\nGlenn Close\nMarquise Isabelle de\nMerteuil\nDangerous Liaisons\nMelanie Griffith\nTess McGill\nWorking Girl\nMeryl Streep\nLindy Chamberlain\nA Cry in the Dark\nSigourney\nWeaver\nDian Fossey\nGorillas in the Mist\n1989\n(62nd)\nJessica Tandy ‡\nDaisy Werthan\nDriving Miss Daisy\n[68]\nIsabelle Adjani\nCamille Claudel\nCamille Claudel\nPauline Collins\nShirley Valentine-\nBradshaw\nShirley Valentine\nJessica Lange\nAnn Talbot\nMusic Box\nMichelle Pfeiffer\nSusie Diamond\nThe Fabulous Baker Boys', ""‡\nVickie Allessio\nA Touch of Class\n[52]\nEllen Burstyn\nChris MacNeil\nThe Exorcist\nMarsha Mason\nMaggie Paul\nCinderella Liberty\nBarbra Streisand\nKatie Morosky\nThe Way We Were\nJoanne\nWoodward\nRita Walden\nSummer Wishes, Winter\nDreams\n1974\n(47th)\nEllen Burstyn ‡\nAlice Hyatt\nAlice Doesn't Live Here\nAnymore\n[53]\nDiahann Carroll\nClaudine Price\nClaudine\nFaye Dunaway\nEvelyn Cross\nMulwray\nChinatown\nValerie Perrine\nHarriett Jolliff / Honey\nBruce\nLenny\nGena Rowlands\nMabel Longhetti\nA Woman Under the\nInfluence\n1975\n(48th)\nLouise Fletcher\n‡\nNurse Mildred\nRatched\nOne Flew Over the\nCuckoo's Nest\n[54]""]",Model trả lời: What role was played in Ghostbusters: The Video Game in 2009 là nấu sôi trong 2 tiếng.,Spider Witch / Additional Voices,0.0,0.0,0.0,0.0
Which title had the role of Spider Witch?,"[""To Each His Own\n[24]\nCelia Johnson\nLaura Jesson\nBrief Encounter\nJennifer Jones\nPearl Chavez\nDuel in the Sun\nRosalind Russell\nElizabeth Kenny\nSister Kenny\nJane Wyman\nOrry Baxter\nThe Yearling\n1947\n(20th)\nLoretta Young ‡\nKatie Holstrom\nThe Farmer's Daughter\n[25]\nJoan Crawford\nLouise Howell\nPossessed\nSusan Hayward\nAngelica Evans\nConway\nSmash-Up, the Story of a\nWoman\nDorothy McGuire\nKathy Lacy\nGentleman's Agreement\nRosalind Russell\nLavinia Mannon\nMourning Becomes\nElectra\n1948\n(21st)\nJane Wyman ‡\nBelinda McDonald\nJohnny Belinda\n[26]\nIngrid Bergman\nJoan of Arc\nJoan of Arc\nOlivia de\nHavilland\nVirginia Stuart\nCunningham\nThe Snake Pit\nIrene Dunne\nMartha Hanson\nI Remember Mama"", ""‡\nVickie Allessio\nA Touch of Class\n[52]\nEllen Burstyn\nChris MacNeil\nThe Exorcist\nMarsha Mason\nMaggie Paul\nCinderella Liberty\nBarbra Streisand\nKatie Morosky\nThe Way We Were\nJoanne\nWoodward\nRita Walden\nSummer Wishes, Winter\nDreams\n1974\n(47th)\nEllen Burstyn ‡\nAlice Hyatt\nAlice Doesn't Live Here\nAnymore\n[53]\nDiahann Carroll\nClaudine Price\nClaudine\nFaye Dunaway\nEvelyn Cross\nMulwray\nChinatown\nValerie Perrine\nHarriett Jolliff / Honey\nBruce\nLenny\nGena Rowlands\nMabel Longhetti\nA Woman Under the\nInfluence\n1975\n(48th)\nLouise Fletcher\n‡\nNurse Mildred\nRatched\nOne Flew Over the\nCuckoo's Nest\n[54]"", 'The Accused\n[67]\nGlenn Close\nMarquise Isabelle de\nMerteuil\nDangerous Liaisons\nMelanie Griffith\nTess McGill\nWorking Girl\nMeryl Streep\nLindy Chamberlain\nA Cry in the Dark\nSigourney\nWeaver\nDian Fossey\nGorillas in the Mist\n1989\n(62nd)\nJessica Tandy ‡\nDaisy Werthan\nDriving Miss Daisy\n[68]\nIsabelle Adjani\nCamille Claudel\nCamille Claudel\nPauline Collins\nShirley Valentine-\nBradshaw\nShirley Valentine\nJessica Lange\nAnn Talbot\nMusic Box\nMichelle Pfeiffer\nSusie Diamond\nThe Fabulous Baker Boys']",Model trả lời: Which title had the role of Spider Witch là nấu sôi trong 2 tiếng.,Ghostbusters: The Video Game,0.0,0.9246059944038022,0.0,0.0
"List the year, title, and role from the table.","['4\nAnnette Bening\nJulie Christie\nGlenn Close\nOlivia de Havilland\nGreta Garbo\nGlenda Jackson\nJennifer Jones\nDiane Keaton\nNicole Kidman\nMarsha Mason\nGeraldine Page\nVanessa Redgrave\nRosalind Russell\nBarbara Stanwyck\nKate Winslet\nJoanne Woodward\nJane Wyman\n3\nJulie Andrews\nClaudette Colbert\nJoan Crawford\nFaye Dunaway\nJoan Fontaine\nJodie Foster\nJennifer Lawrence\nFrances McDormand\nJulianne Moore\nCarey Mulligan\nEleanor Parker\nSaoirse Ronan\nGloria Swanson\nCharlize Theron\nEmma Thompson', 'External links\n\u200b[ edit ]\nOscars.org\n Archived\n January 22, 2009, at the Wayback Machine\n(official Academy site)\nThe Academy Awards Database\n (official site)\nOscar.com\n Archived\n September 9, 2014, at the Wayback Machine (official ceremony promotional\nsite)\nAcademy Awards\nAcademy Awards lists\nAcademy Award for Best Actress\nCategories: Academy Awards\nBest Actress Academy Award winners\nFilm awards for lead actress', '1942\n(15th)\nGreer Garson ‡\nKay Miniver\nMrs. Miniver\n[20]\nBette Davis\nCharlotte Vale\nNow, Voyager\nKatharine\nHepburn\nTess Harding\nWoman of the Year\nRosalind Russell\nRuth Sherwood\nMy Sister Eileen\nTeresa Wright\nEleanor Twitchell\nGehrig\nThe Pride of the Yankees\n1943\n(16th)\nJennifer Jones\n‡\nBernadette\nSoubirous\nThe Song of Bernadette\n[21]\nJean Arthur\nConstance ""Connie""\nMilligan\nThe More the Merrier\nIngrid Bergman\nMaría\nFor Whom the Bell Tolls\nJoan Fontaine\nTessa Sanger\nThe Constant Nymph']","Model trả lời: List the year, title, and role from the table. là nấu sôi trong 2 tiếng.","2009, Ghostbusters: The Video Game, Spider Witch / Additional Voices",0.0,0.0,0.0,0.0
